n_threads,level,dataset,size_mb,ratio_zstd,ratio_omni,ratio_delta_pct_omni_vs_zstd,comp_zstd_s,comp_omni_s,comp_time_delta_pct_omni_vs_zstd,decomp_zstd_s,decomp_omni_s,decomp_time_delta_pct_omni_vs_zstd,decomp_zstd_mb_s,decomp_omni_mb_s,decomp_delta_pct_omni_vs_zstd,comp_zstd_mb_s,comp_omni_mb_s,comp_delta_pct_omni_vs_zstd,rss_peak_delta_zstd_mb,rss_peak_delta_omni_mb,rss_delta_diff_omni_minus_zstd_mb,status_zstd,status_omni
8,1,silesia_blob,202.120380,2.891099,2.885815,-0.182771,0.061151,0.111813,82.848476,0.131601,0.118639,-9.848832,1535.861857,1703.651654,10.924797,3305.291724,1807.667091,-45.309908,372.359375,687.765625,315.406250,OK,OK
8,3,silesia_blob,202.120380,3.201049,3.183724,-0.541226,0.099880,0.152696,52.879823,0.133619,0.124687,-6.684919,1512.660084,1621.024241,7.163814,2023.641443,1323.681178,-34.589145,588.906250,764.531250,175.625000,OK,OK
8,9,silesia_blob,202.120380,3.580990,3.555304,-0.717294,0.576261,0.585562,1.613967,0.121950,0.104247,-14.516450,1657.409361,1938.863508,16.981571,350.744279,345.173297,-1.588331,679.125000,723.875000,44.750000,OK,OK
8,12,silesia_blob,202.120380,3.650805,3.622329,-0.779990,1.109277,1.154939,4.116386,0.122454,0.095037,-22.389416,1650.583784,2126.750899,28.848406,182.209115,175.005224,-3.953639,798.046875,817.531250,19.484375,OK,OK
8,15,silesia_blob,202.120380,3.715284,3.683338,-0.859841,6.218395,6.306009,1.408944,0.119277,0.093532,-21.584017,1694.547323,2160.971854,27.525022,32.503625,32.052029,-1.389369,835.578125,1011.312500,175.734375,OK,OK
8,22,silesia_blob,202.120380,4.052934,3.974643,-1.931719,63.161490,14.285544,-77.382510,0.153521,0.120826,-21.296704,1316.563249,1672.818451,27.059483,3.200057,14.148596,342.135712,918.546875,1897.656250,979.109375,OK,OK
