n_threads,omni_seq_block_decode,level,dataset,size_mb,ratio_delta_pct_omni_vs_zstd,decomp_delta_pct_omni_vs_zstd,decomp_time_delta_pct_omni_vs_zstd,decomp_mb_s_ratio_omni_over_zstd,ratio_zstd,ratio_omni,comp_zstd_s,comp_omni_s,comp_time_delta_pct_omni_vs_zstd,decomp_zstd_s,decomp_omni_s,decomp_zstd_mb_s,decomp_omni_mb_s,comp_zstd_mb_s,comp_omni_mb_s,comp_delta_pct_omni_vs_zstd,rss_peak_delta_zstd_mb,rss_peak_delta_omni_mb,rss_delta_diff_omni_minus_zstd_mb,status_zstd,status_omni
1,1,1,silesia_blob,202.120380,2.644704,33.280403,-24.970215,1.332804,2.894171,2.970713,0.257763,0.316852,22.923998,0.140554,0.105457,1438.030363,1916.612660,784.133776,637.901294,-18.648920,463.406250,841.125000,377.718750,OK,OK
1,1,3,silesia_blob,202.120380,1.202447,50.290072,-33.462006,1.502901,3.204504,3.243036,0.416375,0.499008,19.845962,0.149066,0.099185,1355.915799,2037.806835,485.428956,405.044064,-16.559558,672.062500,775.796875,103.734375,OK,OK
1,1,9,silesia_blob,202.120380,-0.578175,48.650236,-32.727991,1.486502,3.587216,3.566476,1.726744,1.738099,0.657594,0.119281,0.080242,1694.495825,2518.872038,117.052921,116.288217,-0.653298,708.250000,905.609375,197.359375,OK,OK
1,1,12,silesia_blob,202.120380,-0.783514,34.755530,-25.791543,1.347555,3.659168,3.630498,3.487127,3.526481,1.128565,0.156220,0.115929,1293.815055,1743.487333,57.961869,57.315031,-1.115971,526.765625,832.875000,306.109375,OK,OK
1,1,15,silesia_blob,202.120380,-1.146144,4.219196,-4.048386,1.042192,3.725993,3.683288,14.498866,12.342072,-14.875607,0.127136,0.121989,1589.796086,1656.872692,13.940427,16.376536,17.475140,792.640625,772.375000,-20.265625,OK,OK
1,1,22,silesia_blob,202.120380,-2.674430,20.716090,-17.161002,1.207161,4.047405,3.939160,52.879578,39.605687,-25.102113,0.129845,0.107562,1556.630631,1879.103638,3.822277,5.103317,33.515115,905.359375,973.812500,68.453125,OK,OK
